ID,Prioridade,Fase,Categoria,Ajuste sugerido,Seção alvo,Origem / Revisor,Exige nova simulação?,Tipo de trabalho,Impacto,Esforço,Status,Próximo passo,Dependência,Critério de aceite,Observações
A01,Alta,1 - Texto imediato,Contribuição científica,Reposicionar a contribuição: o foco deve ser o benchmark quantitativo e robusto dos VSIs; a ferramenta Python passa a ser infraestrutura experimental.,Introduction / Contributions,R1-1; R1-2; R3-4; R3-5,Não,Texto,Muito alto,Médio,Concluído,"Contribuição reposicionada no título, resumo, Introdução e conclusão da versão WCNPS.",Arquivo LaTeX,"Contribuições específicas, verificáveis e alinhadas aos resultados disponíveis.","Evitar reivindicar novidade por Python/Pandapower ou por reproduzir índices conhecidos.
WCNPS 2026: wcnps.tex: Abstract, Sec. I e Sec. IV."
A02,Alta,1 - Texto imediato,Research gap,"Inserir um Research Gap explícito antes das contribuições, destacando o que comparações anteriores não avaliam de forma sistemática.",Introduction,R1-1; R1-2; R3-4,Não,Texto,Muito alto,Baixo,Concluído,Research gap explícito inserido antes da lista de contribuições.,Arquivo LaTeX,Gap apresentado claramente e conectado diretamente às contribuições.,"Pode ser feito sem qualquer nova simulação.
WCNPS 2026: wcnps.tex: Sec. I."
A03,Alta,1 - Texto imediato,Trabalhos relacionados,Adicionar tabela comparativa de trabalhos relacionados / Research Gap.,Introduction / Related Work,R1-1; R1-2; R3-4,Não,Bibliografia,Muito alto,Médio,Concluído,Tabela compacta de posicionamento/research gap inserida.,Leitura das referências,Tabela verificável; não marcar 'não' quando o item apenas não era foco do trabalho anterior.,"Requer conferência bibliográfica, mas não simulação.
WCNPS 2026: wcnps.tex: Table I."
A04,Média,1 - Texto imediato,Nomenclatura do método,Rever a denominação do algoritmo: considerar 'step-refined loadability analysis' em vez de apresentar o método como CPF clássico baseado em vetor tangente.,Title / Methodology,R1-1; comentário técnico,Não,Texto,Alto,Baixo,Concluído,Método renomeado como step-refined loadability analysis e distinguido do CPF predictor-corrector clássico.,Arquivo LaTeX,Nenhum trecho confunde o algoritmo de incrementos + backtracking com o CPF clássico que atravessa a singularidade.,"Pode manter 'CPF-inspired' ou explicar explicitamente a diferença, se desejado.
WCNPS 2026: wcnps.tex: título e Sec. II-A."
A05,Alta,1 - Texto imediato,Justificativa dos índices,"Justificar por que FVSI, Lmn, NLSI, NVSI e L-Index foram selecionados, relacionando índices de linha e índice nodal.",Introduction / Theoretical Background,R3-5; R3-6,Não,Texto,Alto,Baixo,Concluído,Seleção dos quatro índices de linha e do L-index justificada por complementaridade line/nodal.,Arquivo LaTeX,A escolha dos cinco índices deixa de parecer arbitrária.,"Separar claramente line indices e bus index.
WCNPS 2026: wcnps.tex: Sec. I e Sec. II-B."
A06,Média,1 - Texto imediato,Fundamentação dos índices,"Ampliar a explicação de NLSI, NVSI e L-Index: variáveis, hipóteses, interpretação e faixa crítica.",Theoretical Background,R3-2; R3-6,Não,Texto,Alto,Médio,Concluído,"Fundamentação condensada com fórmulas, interpretação e limitações dos índices.",Arquivo LaTeX,"Cada índice tem unidade espacial, grandezas, interpretação e limitação declaradas.","Não afirmar universalidade de threshold sem a referência original.
WCNPS 2026: wcnps.tex: Sec. II-B."
A07,Média,1 - Texto imediato,Quadro conceitual,"Adicionar quadro/diagrama resumo relacionando índices de linha, índice nodal, MLP e uso operacional.",Theoretical Background,R3-7,Não,Figura/Texto,Médio,Médio,Em andamento,A síntese conceitual foi incorporada ao texto; quadro dedicado foi omitido para respeitar o limite de 4–6 páginas. Reavaliar após inserir novos resultados.,Arquivo LaTeX,Leitor entende rapidamente o papel complementar dos índices.,"Tabela pode ser preferível a uma figura caso haja limite de páginas.
WCNPS 2026: Sec. II-B e III-C; quadro dedicado opcional."
A08,Baixa,1 - Texto imediato,Consistência editorial,"Corrigir a afirmação de 'six indicators': o texto lista cinco índices (FVSI, Lmn, NLSI, NVSI e L-Index).",Theoretical Background,Revisão interna,Não,Texto,Médio,Baixo,Concluído,Contagem corrigida: quatro índices de linha + um índice nodal.,Arquivo LaTeX,Contagem consistente em todo o artigo.,"Correção simples e importante para credibilidade.
WCNPS 2026: wcnps.tex: Abstract e Sec. I."
A09,Alta,2 - Auditoria e pós-processamento,L-Index - equação,Auditar a implementação da Eq. do L-Index e comparar a expressão usada no código com a referência original.,Code / Results V-C,R1-7; R2-C1,"Não, se snapshots/código existirem",Código/Validação,Muito alto,Médio,Aguardando dados,O arquivo ZIP não contém o código Python da rotina L-index; a equação foi mantida e a auditoria de implementação permanece pendente.,Código-fonte e/ou snapshots,Equação e implementação verificadas por teste unitário ou rotina independente.,"Antes de justificar fisicamente o comportamento não monotônico.
WCNPS 2026: Necessário código da rotina de cálculo do L-index."
A10,Alta,2 - Auditoria e pós-processamento,L-Index - fasores,Verificar se o L-Index usa fasores complexos completos e não apenas magnitudes de tensão.,Code / Results V-C,R1-7; R2-C1,"Não, se snapshots/código existirem",Código/Validação,Muito alto,Baixo,Aguardando dados,Sem código-fonte não é possível verificar se V_i/V_j usa fasores complexos completos.,Código-fonte,"Uso confirmado de V=|V|exp(jθ), ou correção documentada.","Erro comum capaz de produzir comportamento anômalo.
WCNPS 2026: Necessário código da rotina de cálculo do L-index."
